base_model,sae_config,l0,r2_recon,alive_features_l3,dict_sizes,top_k_values,coherence_score,specificity_score,top10_coherence_mean,top50_coherence_mean,top10_specificity_mean,top50_specificity_mean,M_config,monosemanticity_top50_mean,mean_sparse_roc_auc,mean_dense_roc_auc,n_targets_kept,mean_n_features_50pct,mean_n_features_60pct,mean_n_features_70pct,mean_n_features_80pct,mean_n_features_90pct,mean_n_features_100pct,mean_roc_auc_n1,mean_roc_auc_n2,mean_roc_auc_n3,mean_roc_auc_n5,mean_roc_auc_n10,mean_roc_auc_n20,mean_roc_auc_n30,mean_roc_auc_n50,mean_roc_auc_n75,mean_roc_auc_n100
biomedparse,D_16_64_256_1024_K_5_10_20_40,33.00493621826172,0.9095435738563538,403.896728515625,16_64_256_1024,5_10_20_40,0.1307210883013035,0.1795426326071721,0.79164874792099,0.6330988830601175,0.6922731597807403,0.437760706207155,0.4802896085521972,0.1911577756643063,0.795583339393383,0.93002512687659,29,1.0,1.2413793103448276,12.758620689655173,42.06896551724138,74.58620689655173,100.0,0.6466305193366584,0.7139230062457032,0.7264201239208217,0.7362417051763485,0.7559072255548243,0.760328760044974,0.7669722393733726,0.7740371303319185,0.7776847847772703,0.7782423719228826
biomedparse,D_16_64_256_1024_K_5_5_5_5,4.457793235778809,0.8949437141418457,54.57462310791016,16_64_256_1024,5_5_5_5,0.1161735382162902,0.1587393398741141,0.6178296935889456,0.3697840155015388,0.3372145982489581,0.2203037896579878,0.1055897633992051,0.0601675439331734,0.6928048200643223,0.93002512687659,29,1.0,8.448275862068966,42.10344827586207,76.10344827586206,79.51724137931035,100.0,0.6577601300458372,0.6711208442566099,0.6783355412660733,0.6758271231865284,0.6699482330778185,0.6694964591116384,0.6834622718299198,0.6823507378574196,0.6822171823372438,0.6821142682611885
biomedparse,D_32_128_512_2048_K_10_10_10_10,9.57367706298828,0.8937456607818604,93.23733520507812,32_128_512_2048,10_10_10_10,0.1157351826247904,0.1793851300135287,0.6818842297999395,0.4544582518753078,0.4021944307482332,0.2972072085456484,0.1499232471124597,0.0903195307716494,0.7272109265229203,0.93002512687659,29,1.0,1.5172413793103448,32.89655172413793,69.48275862068965,79.82758620689656,100.0,0.6489012892613827,0.6837089001767137,0.6964426452282887,0.7051556817853724,0.7192343363068602,0.7219623713904769,0.7194578369720175,0.7213283582321195,0.7214604489752232,0.7212630979493088
biomedparse,D_32_128_512_2048_K_10_20_40_80,65.99209594726562,0.9193413853645324,845.3679809570312,32_128_512_2048,10_20_40_80,0.126421262121917,0.1800979876231433,0.819330269826783,0.6880331270512607,0.7880993485657866,0.5334163431154338,0.5730906447966263,0.2665390224792349,0.8131543046038981,0.93002512687659,29,1.0,1.3103448275862069,10.137931034482758,30.103448275862068,74.0,94.13793103448276,0.6619355252068446,0.7026547954391422,0.7284023303490994,0.7424443509223825,0.7667165539824136,0.7758351419981522,0.7813710351396018,0.7883208366342551,0.7920211711150834,0.7934747232784055
biomedparse,D_32_128_512_2048_K_20_20_20_20,18.12710952758789,0.8985597491264343,207.0474090576172,32_128_512_2048,20_20_20_20,0.1209262522075378,0.172169061191777,0.6957407811615202,0.5314791821365555,0.5384755701781865,0.3405605840249394,0.178798668825816,0.1143959186524701,0.7652860216356638,0.93002512687659,29,1.0344827586206895,1.7241379310344829,17.344827586206897,40.93103448275862,79.62068965517241,100.0,0.646736064285931,0.6933214969577445,0.7050749340584342,0.7442625170898929,0.7581674034724584,0.764509501733876,0.7675563559197767,0.7690082651613157,0.7683637830705196,0.7680643731605105
biomedparse,D_32_128_512_2048_K_20_40_80_160,134.63787841796875,0.9295542240142822,1124.4302978515625,32_128_512_2048,20_40_80_160,0.1162096142861871,0.1707790783735923,0.7802672773599625,0.6494834836820762,0.6399645333709425,0.431178236048795,0.4698614700734678,0.2140091548070052,0.8377473283675514,0.93002512687659,29,1.0,1.7586206896551724,9.241379310344827,24.724137931034484,66.41379310344827,90.20689655172414,0.6812413718941585,0.722109493287102,0.7377938637320928,0.7555402756135775,0.7696903045235651,0.7955909449831169,0.7964137230758002,0.8072834400023052,0.8140976350122586,0.8166536079179021
biomedparse,D_32_128_512_2048_K_30_30_30_30,24.78132438659668,0.9036374092102052,358.3211364746094,32_128_512_2048,30_30_30_30,0.1195044890220441,0.1723667514151516,0.7915737952126397,0.6173053108611041,0.6357425522913356,0.4015253625278302,0.3618872245775963,0.1662886128482607,0.7897952684870538,0.93002512687659,29,1.0,1.3448275862068966,13.517241379310343,43.44827586206897,73.79310344827586,100.0,0.6531071962206085,0.6718521046883645,0.693361422855106,0.7155601404813133,0.7444171671032976,0.7421629761730427,0.7539233066907345,0.7671665653091366,0.7690107393897341,0.752194061758198
biomedparse,D_32_128_512_2048_K_30_60_120_240,205.080078125,0.9389994740486144,1306.2022705078125,32_128_512_2048,30_60_120_240,0.1072917681918918,0.1655632374589116,0.778937175737487,0.6591140594532092,0.6699617990187452,0.45988541913017,0.4389258099375398,0.2094888586578775,0.8547103632458368,0.93002512687659,29,1.0344827586206895,1.4482758620689655,9.344827586206897,19.0,64.27586206896552,91.3793103448276,0.6666712653376965,0.7088627928526627,0.7379039482062646,0.771653424392619,0.7849871315339597,0.8048526963605501,0.8125318999483253,0.8195912475055658,0.8142296174195433,0.8250649557313319
biomedparse,D_32_128_512_2048_K_5_10_20_40,33.277130126953125,0.9106590747833252,561.5285034179688,32_128_512_2048,5_10_20_40,0.1219867246911157,0.1768131705708135,0.7749731017980311,0.6661529623410768,0.6730559965637813,0.4735636017181165,0.3982684717531285,0.1947187914363148,0.797301045602026,0.93002512687659,29,1.0689655172413792,1.7241379310344829,17.24137931034483,49.37931034482759,76.82758620689656,95.51724137931036,0.6509679809174682,0.6816968361651676,0.7013246553621744,0.7303805626099935,0.7450688669579338,0.7521176837224455,0.7604618577468033,0.7653581610599854,0.7690736440641737,0.7705242235293512
biomedparse,D_32_128_512_2048_K_5_5_5_5,4.694499492645264,0.8929929733276367,34.183589935302734,32_128_512_2048,5_5_5_5,0.1073493242292133,0.1623008533336743,0.5132930547619858,0.2363242280321817,0.2768452746005839,0.1792008780581938,0.0786605155430425,0.0362394151232787,0.6570763579392556,0.93002512687659,29,1.0,18.344827586206897,38.75862068965517,72.75862068965517,96.65517241379312,100.0,0.6316116602816034,0.6600018485702418,0.6618487241547174,0.6516277196259506,0.6513596420920508,0.6603664646440838,0.6503068551652045,0.6607036211891255,0.6607036211891255,0.6608149973848555
biomedparse,D_64_256_1024_4096_K_10_10_10_10,9.756620407104492,0.8932226300239563,94.75421142578124,64_256_1024_4096,10_10_10_10,0.1073600600603149,0.167188367627939,0.6844260696901217,0.4059595898712674,0.3257468310535235,0.2515144550658764,0.1221633744794975,0.0725299855104063,0.7379240837545139,0.93002512687659,29,1.0344827586206895,8.068965517241379,32.3448275862069,66.17241379310344,83.20689655172414,100.0,0.6338054792280494,0.6832406372156491,0.6897844526422122,0.7173443301808187,0.7063727478753018,0.7233271861357351,0.7063136057190535,0.7238822258201361,0.7230729603647216,0.7232735908947039
