k,reference_id,reference_slice,sparse_mean,sparse_std,sparse_min,sparse_max,dense_fp_mean,dense_fp_std,dense_fp_min,dense_fp_max
3,s0740,135,0.45990777015686035,0.24325768649578094,0.19281107187271118,0.8360126614570618,0.2648487091064453,0.10045308619737625,0.12321403622627258,0.419885516166687
5,s0740,135,0.6921629905700684,0.09685704112052917,0.5834863185882568,0.8548158407211304,0.5109323263168335,0.19334672391414642,0.3112885355949402,0.8360126614570618
10,s0740,135,0.6812397837638855,0.13385328650474548,0.481018602848053,0.900309681892395,0.646938145160675,0.12498926371335983,0.4486997723579407,0.8360126614570618
20,s0740,135,0.726657509803772,0.10544181615114212,0.599894106388092,0.900309681892395,0.7178336977958679,0.07271894812583923,0.6129488945007324,0.8142726421356201
50,s0740,135,0.7763745188713074,0.06610444188117981,0.701396107673645,0.900309681892395,0.7719687819480896,0.056501954793930054,0.713421106338501,0.8662351965904236
100,s0740,135,0.7757808566093445,0.066252201795578,0.701396107673645,0.900309681892395,0.7868514060974121,0.06219945847988129,0.7139303684234619,0.900309681892395
1,s0366,74,0.8488186001777649,0.019049128517508507,0.8253614902496338,0.8707327842712402,0.7069209814071655,0.12782873213291168,0.4596537947654724,0.8308463096618652
2,s0366,74,0.8633416891098022,0.0352734699845314,0.8018989562988281,0.9121832847595215,0.8382574915885925,0.05571913346648216,0.7665584087371826,0.900705099105835
3,s0366,74,0.8972266912460327,0.025162989273667336,0.8524193167686462,0.928036093711853,0.8293330073356628,0.06588328629732132,0.7459286451339722,0.9142816662788391
5,s0366,74,0.9060192108154297,0.01806727610528469,0.885345458984375,0.9396135807037354,0.8069735765457153,0.09815254807472229,0.6396315693855286,0.9012545347213745
10,s0366,74,0.9205302000045776,0.016493871808052063,0.898297905921936,0.94295734167099,0.8995023965835571,0.022353103384375572,0.8584298491477966,0.9193599224090576
20,s0366,74,0.9195707440376282,0.016606036573648453,0.898297905921936,0.94295734167099,0.904455840587616,0.019102616235613823,0.8776015043258667,0.9361215829849243
50,s0366,74,0.918014645576477,0.018750248476862907,0.8905256390571594,0.94295734167099,0.9272751808166504,0.009493167512118816,0.9175216555595398,0.94295734167099
100,s0366,74,0.918014645576477,0.018750248476862907,0.8905256390571594,0.94295734167099,0.9281511306762695,0.008800163865089417,0.9171956181526184,0.94295734167099
1,s0907,2,0.7197410464286804,0.08915061503648758,0.6001080870628357,0.8548327684402466,0.569159209728241,0.07259494066238403,0.4329220652580261,0.6504666805267334
2,s0907,2,0.7372255325317383,0.07049083709716797,0.6763614416122437,0.8483730554580688,0.617314338684082,0.12501497566699982,0.5245809555053711,0.8622986078262329
3,s0907,2,0.7994782328605652,0.033742327243089676,0.7546566724777222,0.8560563325881958,0.5112645030021667,0.10776450484991074,0.37644731998443604,0.6390913724899292
5,s0907,2,0.8145596385002136,0.01649567112326622,0.7942225933074951,0.8389309048652649,0.5912665128707886,0.09880420565605164,0.4261642098426819,0.7269389629364014
10,s0907,2,0.8245370984077454,0.024818021804094315,0.7886216044425964,0.8644301891326904,0.6683820486068726,0.06837274134159088,0.6016665697097778,0.8003854155540466
20,s0907,2,0.8259960412979126,0.02291926182806492,0.7952008247375488,0.8644301891326904,0.8037972450256348,0.04776334762573242,0.7272684574127197,0.8696401119232178
50,s0907,2,0.8282599449157715,0.020284727215766907,0.8095941543579102,0.8644301891326904,0.8205370903015137,0.028285454958677292,0.7879687547683716,0.8714465498924255
100,s0907,2,0.8266183137893677,0.02164134383201599,0.8020172119140625,0.8644301891326904,0.8364740610122681,0.017154665663838387,0.8254681825637817,0.8702032566070557
1,s0157,246,0.6723084449768066,0.049849316477775574,0.6074181795120239,0.7596566081047058,0.6301850080490112,0.07327555865049362,0.572050929069519,0.7713788151741028
2,s0157,246,0.7942253947257996,0.03531956300139427,0.7567130327224731,0.848886251449585,0.7218076586723328,0.08439096063375473,0.6249607801437378,0.8643282055854797
3,s0157,246,0.7954047322273254,0.029420524835586548,0.7400283813476562,0.8284887075424194,0.7029762268066406,0.1060277670621872,0.557226300239563,0.8765633702278137
5,s0157,246,0.8288933634757996,0.05866456404328346,0.7743123173713684,0.9279617071151733,0.7733684778213501,0.09130564332008362,0.6317352056503296,0.9023927450180054
10,s0157,246,0.8998044729232788,0.025700774043798447,0.8684961199760437,0.9318758845329285,0.8525612950325012,0.019152212888002396,0.8285425901412964,0.8834699392318726
20,s0157,246,0.9067503213882446,0.027575459331274033,0.8684961199760437,0.9364807605743408,0.8845977783203125,0.02251703105866909,0.8463644981384277,0.9145024418830872
50,s0157,246,0.9023869633674622,0.02653893642127514,0.8684961199760437,0.9364807605743408,0.9129104614257812,0.014361554756760597,0.8958169221878052,0.9293925762176514
