k,reference_id,reference_slice,sparse_mean,sparse_std,sparse_min,sparse_max,dense_fp_mean,dense_fp_std,dense_fp_min,dense_fp_max
20,s0992,245,0.9894872903823853,0.0020399675704538822,0.9857212901115417,0.991811215877533,0.9881775975227356,0.0022858704905956984,0.9853569269180298,0.9905620217323303
50,s0992,245,0.9900227785110474,0.0017126115271821618,0.9868975877761841,0.991811215877533,0.9878907203674316,0.001866303151473403,0.9849951267242432,0.9906708598136902
100,s0992,245,0.9900227785110474,0.0017126115271821618,0.9868975877761841,0.991811215877533,0.9903980493545532,0.0015487835044041276,0.9874019026756287,0.991811215877533
1,s0325,228,0.935036301612854,0.02024497650563717,0.9171460866928101,0.9735819697380066,0.904753565788269,0.018991023302078247,0.8706771731376648,0.9238463044166565
2,s0325,228,0.9216467142105103,0.03770558163523674,0.8822696208953857,0.9880409240722656,0.9463545083999634,0.027648698538541794,0.911194384098053,0.979966938495636
3,s0325,228,0.9384706616401672,0.02554185874760151,0.9089378118515015,0.9769359827041626,0.9131084680557251,0.033822234719991684,0.8736135959625244,0.9611979722976685
5,s0325,228,0.9569259881973267,0.021839795634150505,0.9161147475242615,0.9819884896278381,0.9657227396965027,0.018508777022361755,0.9299867153167725,0.9809898734092712
10,s0325,228,0.9531878232955933,0.028662804514169693,0.9158371090888977,0.9851318597793579,0.9759729504585266,0.008572087623178959,0.9641653299331665,0.987494170665741
20,s0325,228,0.9694494009017944,0.02059408649802208,0.9322150945663452,0.988286554813385,0.9759032130241394,0.009401235729455948,0.9617624878883362,0.987494170665741
50,s0325,228,0.9787598848342896,0.006901550572365522,0.9686315655708313,0.988286554813385,0.9783069491386414,0.006619623396545649,0.969834566116333,0.987494170665741
100,s0325,228,0.9820652008056641,0.004811545833945274,0.9738277196884155,0.988286554813385,0.9825878143310547,0.004514014348387718,0.9742579460144043,0.987494170665741
1,s1296,49,0.9381381869316101,0.006408069282770157,0.9320764541625977,0.9490762948989868,0.9035413861274719,0.03670431300997734,0.8369587659835815,0.936437726020813
2,s1296,49,0.9149273037910461,0.02786240726709366,0.8620963096618652,0.9451072216033936,0.9319084286689758,0.021757110953330994,0.8916267156600952,0.9575706720352173
3,s1296,49,0.9431805610656738,0.008552315644919872,0.9277979731559753,0.952342689037323,0.9022485017776489,0.030482450500130653,0.842661440372467,0.9279494285583496
5,s1296,49,0.952928900718689,0.009405630640685558,0.9369618892669678,0.9631646275520325,0.9168577194213867,0.03601502999663353,0.8532605767250061,0.9645785093307495
10,s1296,49,0.9600626230239868,0.012966228649020195,0.9341962337493896,0.9682886004447937,0.9550291895866394,0.017774643376469612,0.9272574186325073,0.9708811640739441
20,s1296,49,0.9625997543334961,0.008031350560486317,0.9484400749206543,0.9723433256149292,0.9646599888801575,0.007154602557420731,0.9550250172615051,0.9720293283462524
50,s1296,49,0.9652153849601746,0.009018754586577415,0.9484400749206543,0.9737289547920227,0.9687851071357727,0.0025699296966195107,0.9645964503288269,0.9720293283462524
100,s1296,49,0.9699786901473999,0.003411640878766775,0.9651890397071838,0.9737289547920227,0.9687851071357727,0.0025699296966195107,0.9645964503288269,0.9720293283462524
1,s0542,23,0.9441617727279663,0.026316151022911072,0.9099180698394775,0.9700618982315063,0.9236739873886108,0.0341133214533329,0.8694469928741455,0.9721254706382751
2,s0542,23,0.9537128210067749,0.022073397412896156,0.9243513941764832,0.9816820621490479,0.9399610757827759,0.03473001345992088,0.8907244205474854,0.9782741069793701
3,s0542,23,0.9536367654800415,0.03661748394370079,0.8824543952941895,0.9839258193969727,0.9435214996337891,0.029129523783922195,0.9077603816986084,0.9722473621368408
5,s0542,23,0.9697080850601196,0.010695851407945156,0.9554873108863831,0.9869515895843506,0.9493674039840698,0.014796843752264977,0.9336819052696228,0.9688112139701843
10,s0542,23,0.9810338020324707,0.0035520929377526045,0.9750571846961975,0.9848625063896179,0.9660199284553528,0.013360830955207348,0.9528343677520752,0.9868898391723633
20,s0542,23,0.9757652282714844,0.003890089225023985,0.9697636961936951,0.980599045753479,0.9859302639961243,0.0011798108462244272,0.9844129085540771,0.9875808358192444
50,s0542,23,0.980762779712677,0.005651656072586775,0.9730219841003418,0.9876790046691895,0.9848782420158386,0.003052678657695651,0.979022741317749,0.9875808358192444
100,s0542,23,0.980762779712677,0.005651656072586775,0.9730219841003418,0.9876790046691895,0.9867032766342163,0.0013303793966770172,0.9855085015296936,0.9892027974128723
1,s0730,146,0.9033762216567993,0.042545199394226074,0.8314518928527832,0.9649476408958435,0.8640630841255188,0.019531836733222008,0.8379696011543274,0.8923569321632385
2,s0730,146,0.904467761516571,0.02872735820710659,0.8648603558540344,0.9454478025436401,0.903860867023468,0.026953846216201782,0.8813690543174744,0.9563194513320923
3,s0730,146,0.9199771881103516,0.03508571535348892,0.8808766007423401,0.9705280065536499,0.8927028775215149,0.01718061976134777,0.872707188129425,0.9200911521911621
5,s0730,146,0.9355374574661255,0.01519761048257351,0.9145382642745972,0.9614432454109192,0.9344701766967773,0.024229906499385834,0.8990766406059265,0.9718384742736816
10,s0730,146,0.9486330151557922,0.021484997123479843,0.9323670268058777,0.990278959274292,0.9534958600997925,0.0167696475982666,0.9365963339805603,0.9803770184516907
20,s0730,146,0.9523957967758179,0.01969204470515251,0.9366494417190552,0.990278959274292,0.9560641050338745,0.019586054608225822,0.9359219670295715,0.990278959274292
50,s0730,146,0.9536037445068359,0.02038518898189068,0.9339343905448914,0.990278959274292,0.9598817825317383,0.01633400470018387,0.9466026425361633,0.990278959274292
100,s0730,146,0.9535118937492371,0.02050046995282173,0.932634711265564,0.990278959274292,0.9606132507324219,0.01579159125685692,0.9489357471466064,0.990278959274292
1,s0702,195,0.9271293878555298,0.01690022461116314,0.8937616944313049,0.9387022256851196,0.9161118268966675,0.025391168892383575,0.8786088228225708,0.9532133340835571
2,s0702,195,0.9452473521232605,0.026253141462802887,0.8953172564506531,0.9719612002372742,0.9155420064926147,0.0463746152818203,0.850287675857544,0.9615349769592285
3,s0702,195,0.947992205619812,0.006119794212281704,0.9388217329978943,0.9570564031600952,0.9097492098808289,0.02321518026292324,0.8778446316719055,0.9370229244232178
5,s0702,195,0.9529288411140442,0.014853141270577908,0.9254922866821289,0.9651615619659424,0.9178451299667358,0.011234739795327187,0.9039416313171387,0.9330824017524719
10,s0702,195,0.9599908590316772,0.011965475045144558,0.9366371631622314,0.9688180685043335,0.9511703252792358,0.010252940468490124,0.933945894241333,0.9610103368759155
20,s0702,195,0.9592591524124146,0.014290728606283665,0.9351483583450317,0.9751641154289246,0.9666526913642883,0.005448951385915279,0.9590319991111755,0.9757717847824097
50,s0702,195,0.9663506746292114,0.007918101735413074,0.9515625238418579,0.9751641154289246,0.9748252630233765,0.002730005420744419,0.9704968929290771,0.9791011810302734
100,s0702,195,0.9663506746292114,0.007918101735413074,0.9515625238418579,0.9751641154289246,0.97584068775177,0.0029092873446643353,0.970799446105957,0.9791011810302734
1,s0820,8,0.915827751159668,0.03436228260397911,0.880043089389801,0.9655200839042664,0.9225616455078125,0.02459852769970894,0.8832073211669922,0.9513707756996155
2,s0820,8,0.9624532461166382,0.020039930939674377,0.933455765247345,0.9959576725959778,0.924755871295929,0.02367551065981388,0.8951776027679443,0.9601277112960815
3,s0820,8,0.9725385904312134,0.013095652684569359,0.9535737633705139,0.9935871958732605,0.9650712013244629,0.028638388961553574,0.9280623197555542,0.9968982934951782
5,s0820,8,0.9756908416748047,0.01563294604420662,0.961564302444458,0.9968628287315369,0.9784415364265442,0.013721119612455368,0.9618311524391174,0.996636688709259
10,s0820,8,0.986253559589386,0.007345875259488821,0.9736478328704834,0.9964242577552795,0.9876095652580261,0.0066225226037204266,0.979864776134491,0.997558057308197
20,s0820,8,0.988214373588562,0.007424827199429274,0.974607527256012,0.9965124726295471,0.985744833946228,0.009300058707594872,0.9728575944900513,0.9972646236419678
50,s0820,8,0.9899338483810425,0.005087332334369421,0.982265055179596,0.997558057308197,0.9896171689033508,0.005877145100384951,0.979864776134491,0.9971221089363098
100,s0820,8,0.9896871447563171,0.005468956660479307,0.9810311794281006,0.997558057308197,0.9897042512893677,0.005989988334476948,0.979864776134491,0.997558057308197
