k,reference_id,reference_slice,sparse_mean,sparse_std,sparse_min,sparse_max,dense_fp_mean,dense_fp_std,dense_fp_min,dense_fp_max
50,s0972,88,0.9998698234558105,7.275674306583824e-06,0.999861478805542,0.9998790621757507,0.9998704791069031,9.041299563250504e-06,0.9998550415039062,0.9998790621757507
100,s0972,88,0.9998671412467957,5.742313078371808e-06,0.999861478805542,0.9998781085014343,0.9998705983161926,9.041456905833911e-06,0.9998550415039062,0.9998790621757507
1,s0209,58,0.9938003420829773,0.007148458156734705,0.9797250032424927,0.9989269971847534,0.7664185762405396,0.16036143898963928,0.5086219906806946,0.9874894618988037
2,s0209,58,0.9979251623153687,0.0014562536962330341,0.9955965280532837,0.9993720054626465,0.7869707345962524,0.1422680765390396,0.5582209825515747,0.9913758635520935
3,s0209,58,0.9976401329040527,0.002235803287476301,0.9944616556167603,0.9995231032371521,0.9780710339546204,0.018747102469205856,0.9428183436393738,0.9988101720809937
5,s0209,58,0.9993537664413452,0.00025213262415491045,0.999028205871582,0.9997915029525757,0.9863396883010864,0.02186625264585018,0.9428183436393738,0.9991226196289062
10,s0209,58,0.9995955228805542,0.00011497897503431886,0.999457836151123,0.9997915029525757,0.9996199607849121,0.0001265887840418145,0.9995211362838745,0.999869167804718
20,s0209,58,0.9994150400161743,0.000357355282176286,0.9988074898719788,0.9997915029525757,0.9995590448379517,0.000168072700034827,0.9993931651115417,0.999869167804718
50,s0209,58,0.9996190071105957,0.00014639002620242536,0.999381422996521,0.9997915029525757,0.9997366070747375,7.980764348758385e-05,0.9996230006217957,0.999869167804718
100,s0209,58,0.9997096061706543,0.00011086156155215576,0.999527096748352,0.999869167804718,0.9997390508651733,7.640568946953863e-05,0.9996352195739746,0.999869167804718
1,s0382,237,0.9986957311630249,0.0004713068774435669,0.997791588306427,0.9990561008453369,0.9067932963371277,0.17247746884822845,0.56191086769104,0.9982503056526184
2,s0382,237,0.7061506509780884,0.46482041478157043,-0.2024524062871933,0.9974616169929504,0.9992339015007019,0.0005133093800395727,0.9983571171760559,0.9998100399971008
3,s0382,237,0.9993454813957214,0.0001938323548529297,0.9990447759628296,0.9996203184127808,0.9996936917304993,7.168073352659121e-05,0.9996239542961121,0.9998252391815186
5,s0382,237,0.9995285272598267,0.0002370541333220899,0.9991507530212402,0.9998149871826172,0.999716579914093,5.485502697410993e-05,0.9996380805969238,0.9997852444648743
10,s0382,237,0.9997811317443848,2.437666626065038e-05,0.9997515678405762,0.9998149871826172,0.9997718930244446,5.2597111789509654e-05,0.9997019171714783,0.9998472332954407
20,s0382,237,0.9998326301574707,3.942857074434869e-05,0.9997930526733398,0.9998998641967773,0.9998505711555481,2.277844396303408e-05,0.999811053276062,0.9998805522918701
50,s0382,237,0.9998586773872375,2.4537952413083985e-05,0.9998289346694946,0.9998998641967773,0.9998777508735657,1.2663707821047865e-05,0.999861478805542,0.9998998641967773
100,s0382,237,0.999847412109375,2.879220301110763e-05,0.9998149871826172,0.9998998641967773,0.9998735189437866,1.7356765965814702e-05,0.9998472332954407,0.9998998641967773
1,s1326,72,0.9990153312683105,0.000766791170462966,0.9976521730422974,0.9996727108955383,0.9166809320449829,0.12341395020484924,0.6710715889930725,0.9979158639907837
2,s1326,72,0.9875577092170715,0.014897670596837997,0.9615401029586792,0.9997893571853638,0.9946821331977844,0.0058792224153876305,0.9830523133277893,0.9985793828964233
3,s1326,72,0.9990386962890625,0.000650714267976582,0.9981179237365723,0.9997522234916687,0.9996811151504517,0.0001151066753664054,0.9994710683822632,0.9998011589050293
5,s1326,72,0.9996098279953003,0.00011344991071382537,0.9994531869888306,0.99980229139328,0.9997484087944031,4.473056105780415e-05,0.9996967315673828,0.9998073577880859
10,s1326,72,0.9997682571411133,8.649796654935926e-05,0.9995969533920288,0.9998222589492798,0.9993827939033508,0.00024253599985968322,0.9989186525344849,0.9996153116226196
20,s1326,72,0.9998267292976379,4.4686465116683394e-05,0.9997591376304626,0.9998693466186523,0.9998071789741516,2.2607891878578812e-05,0.9997713565826416,0.9998410940170288
50,s1326,72,0.9998482465744019,1.6176156350411475e-05,0.9998221397399902,0.9998693466186523,0.9998481869697571,1.1945758160436526e-05,0.9998283982276917,0.9998611807823181
100,s1326,72,0.9998472929000854,1.4964778529247269e-05,0.9998221397399902,0.999864399433136,0.9998543858528137,7.820074642950203e-06,0.9998398423194885,0.9998611807823181
1,s0542,36,0.9838823080062866,0.009647458791732788,0.9688457250595093,0.9951215982437134,0.2651063799858093,0.37883806228637695,-0.13254119455814362,0.9334534406661987
2,s0542,36,0.9925470352172852,0.0018337797373533249,0.9901711940765381,0.9955408573150635,0.9768041372299194,0.02308937907218933,0.9316873550415039,0.9926316738128662
3,s0542,36,0.9916973114013672,0.0019784830510616302,0.9891945123672485,0.9949933290481567,0.9758232235908508,0.017772583290934563,0.952243447303772,0.99616539478302
5,s0542,36,0.9958597421646118,0.004130078013986349,0.9877405166625977,0.9990262985229492,0.9845205545425415,0.01580166444182396,0.9599963426589966,0.9989475011825562
10,s0542,36,0.9986085891723633,0.00024011505593080074,0.9982924461364746,0.9990262985229492,0.9963571429252625,0.002592535223811865,0.9915791153907776,0.999148964881897
20,s0542,36,0.998565673828125,0.00026359278126619756,0.9982924461364746,0.9990360140800476,0.9985512495040894,0.00033774427720345557,0.9981731176376343,0.999148964881897
50,s0542,36,0.9987145662307739,0.0002493698848411441,0.9982924461364746,0.9990452527999878,0.998701274394989,0.0002319874329259619,0.9985097050666809,0.999148964881897
100,s0542,36,0.9986626505851746,0.0002758194459602237,0.9982924461364746,0.9990262985229492,0.998755156993866,0.00017668024520389736,0.9985366463661194,0.9990360140800476
1,s0146,87,0.9500619173049927,0.04583936929702759,0.8608884215354919,0.9873721599578857,0.2644198536872864,0.37980353832244873,-0.13599950075149536,0.9312607049942017
2,s0146,87,0.9896265864372253,0.005230863578617573,0.9816876649856567,0.9954584836959839,0.9699952006340027,0.016487091779708862,0.9495019912719727,0.9900089502334595
3,s0146,87,0.9934720993041992,0.0039003188721835613,0.9857737421989441,0.9965152740478516,0.9833806753158569,0.012672913260757923,0.9590513706207275,0.9948594570159912
5,s0146,87,0.9958894848823547,0.001030976651236415,0.9939781427383423,0.9969712495803833,0.9882112741470337,0.005773564334958792,0.9806424975395203,0.99520343542099
10,s0146,87,0.9969525337219238,0.0002937417884822935,0.9964612722396851,0.9972541928291321,0.993973433971405,0.0018574298592284322,0.9914621114730835,0.9965096712112427
20,s0146,87,0.9969193339347839,0.0003140611224807799,0.9964612722396851,0.9972541928291321,0.9965276718139648,0.0004892609431408346,0.9957157373428345,0.99702388048172
50,s0146,87,0.9969474673271179,0.0003023275639861822,0.9964357614517212,0.9972541928291321,0.9969373941421509,0.00035321919131092727,0.9963016510009766,0.9972594976425171
100,s0146,87,0.9971169233322144,0.00011425650882301852,0.9969712495803833,0.9972541928291321,0.9970996975898743,0.00015419528062921017,0.9968476295471191,0.9972594976425171
1,s0776,116,0.46174463629722595,0.4290969967842102,0.09328507632017136,0.9985150098800659,0.6506603360176086,0.23202353715896606,0.2910225987434387,0.9452206492424011
2,s0776,116,0.9954735636711121,0.004063958767801523,0.9873804450035095,0.997938334941864,0.9888518452644348,0.009752272628247738,0.9711041450500488,0.9989662170410156
